iter	Passed	Remaining
955	19264	886
956	19284	866
957	19304	846
958	19323	826
959	19339	805
960	19358	785
961	19375	765
962	19394	745
963	19411	724
964	19429	704
965	19446	684
966	19465	664
967	19483	644
968	19501	623
969	19519	603
970	19536	583
971	19555	563
972	19572	543
973	19590	522
974	19611	502
975	19634	482
976	19655	462
977	19677	442
978	19699	422
979	19717	402
980	19735	382
981	19753	362
982	19775	342
983	19795	321
984	19813	301
985	19831	281
986	19850	261
987	19869	241
988	19890	221
989	19910	201
990	19930	181
991	19952	160
992	19976	140
993	19998	120
994	20016	100
995	20035	80
996	20054	60
997	20073	40
998	20091	20
999	20112	0
